2mYabDGiwYidfct2Z7lFHA,Rooftop at Revere,200 Stuart St,Boston,3.0,72,1,44,88,0.33333,42.3503716,-71.0674657
2p-a5qbLKcNTqqbFwlWvIQ,D'angelo,200 Brookline Ave,Boston,3.0,7,0,120,164,0.42254,42.3436691,-71.1019491
2r0S8NZtoyvwSJQqUr0YQw,Papas Roast Beef & Pizza,55 Causeway St,Boston,2.5,10,0,132,128,0.50769,42.3643192,-71.0628708
2rY6iHYoIfwBbUiGHTFxMg,Toro Sushi Cheo Ga Jip,1245 Commonwealth Ave,Boston,2.5,34,0,208,300,0.40945,42.3501344,-71.1318619
2rnZYS2VJMaC47v8PbgClw,Kappy's Fine Wine & Spirits,216 Border St,Boston,3.5,26,1,108,104,0.50943,42.375694,-71.0406528
2sLExLNor87UD27CVYlgPw,Parkway Driving School,1752 Centre St,West Roxbury,4.0,5,1,52,76,0.40625,42.2871858,-71.1507661
2tySeF68Vew6v5OpwR5b4Q,Star Market,33 Kilmarnock St,Boston,2.0,54,1,344,576,0.37391,42.3435552,-71.1004512
2unRBFsCW7WSSxBo-CtgBg,Vivi Bubble Tea Brighton,364 Washington St,Boston,4.0,45,1,20,12,0.625,42.3489886,-71.1536912
2v0-gBcXethuNFT6rMGiRw,Mr. Dooley's,77 Broad St,Boston,4.0,431,1,392,532,0.42424,42.357643,-71.0536578
2z_YPXD7eln42Q961Shxig,Fastachi,83 Charles St,Boston,4.5,21,0,24,12,0.66667,42.3584023118,-71.0705599934
3532r0nz02cXT2m6Ou23zQ,Green Cross Pharmacy,393 Hanover St,Boston,4.5,9,1,56,8,0.875,42.3651425,-71.0528824
37Mu5TIWpdla47yWDIsVnA,Allston Cafe,155 Brighton Ave,Boston,3.5,42,0,20,196,0.09259,42.3530639,-71.1320846
38HqGkzDw0MSa1MoB7Xxtw,Quattro,264 Hanover St,Boston,3.5,411,1,204,416,0.32903,42.3636992,-71.0548319
39K3YQ8ZTUoJXMnpjtP4UA,Tu Metapan Restaurant,295 Bennington St,Boston,4.0,33,1,288,320,0.47368,42.378732,-71.0281172
3EHkWvn0KVxLDLqezuU5Cg,Starbucks,303 Congress St,Boston,3.0,14,1,12,8,0.6,42.351414,-71.05036
3GT2eFVUQ9htrYENYhvVBQ,Allston Motor Sports,41 N Beacon St,Boston,4.0,7,1,124,244,0.33696,42.3540055,-71.1393405
3HVGjPeixZIKOtPuJ62Cqw,CVS Pharmacy,55 Summer Street,Boston,3.5,27,1,72,104,0.40909,42.3543,-71.0592
3HYkNg2aPzOZ3ovUl98mVQ,Boston News Cafe,28 State St,Boston,4.0,12,1,136,128,0.51515,42.3592454,-71.0574839
3Hn9sR8ccbdlGyuJPshSHA,Flamepoeira,3 Lewis St,Boston,4.0,35,0,8,28,0.22222,42.363276,-71.051893
3HzY-S3oIeYzaNuyfQ8oXA,Boston Union Gym,48 Boylston St,Boston,3.5,9,0,8,12,0.4,42.3521467,-71.0641107
3IPili48JdyKUayU5CZu1A,Burger King,1610 Vfw Parkway,West Roxbury,2.0,19,1,120,548,0.17964,42.2659073,-71.1678969
